YML029W YBR201W
YML029W YDL072C
YML029W YHL033C
YML029W YKL212W
YML029W YLL045C
YML029W YOR288C
YGR177C YGL053W
YGR177C YML011C
YMR024W YGR125W
YMR079W YGL053W
YMR079W YCR007C
YMR079W YJL151C
YMR079W YER118C
YMR079W YHR076W
YNL204C YJL151C
YPL100W YJL100W
YPR174C YGL053W
YPR174C YJL019W
YPR174C YMR001C
YPR174C YER026C
YBR273C YDL190C
YJL019W YDR476C
YJL019W YOR288C
YJL019W YJR068W
YJL019W YDR498C
YJL019W YFR027W
YJL019W YIL085C
YJL019W YMR001C
YJL019W YNL029C
YJL019W YOL012C
YLR404W YOR301W
YPR071W YDR284C
YPR071W YDR086C
YPR071W YPL176C
YER118C YDL073W
YCR007C YKR066C
YAR033W YGL051W
YLR072W YJL090C
YLR072W YLR173W
YGL051W YML018C
YDR284C YNL111C
YDR476C YHR211W
YGR149W YNL181W
YJL183W YHL003C
YJL183W YDR245W
YJL183W YHR036W
YCR068W YNL111C
YDL015C YOR324C
YHL003C YMR298W
YHL003C YOR223W
YOR324C YPR153W
YBL025W YMR270C
YDR378C YER146W
YER146W YJL124C
YER146W YNL147W
YOR108W YNL104C
YBR186W YLR032W
YJL151C YML097C
YPR182W YLR275W
YBL037W YFR043C
YBL037W YJR058C
YMR218C YEL048C
YNL107W YIL119C
YBR107C YGL071W
YBR107C YDR421W
YLR021W YPL144W
YNL189W YOR229W
YNL189W YFR047C
YNL189W YGL238W
YNL189W YHR025W
YPL129W YBR289W
YPL201C YIL053W
YPL201C YER062C
YIL119C YCR020C-A
YIL119C YGR203W
YBL047C YCR030C
YGL181W YGR178C
YGL181W YFR024C-A
YGL181W YMR182C
YGL181W YNL124W
YGR178C YHR121W
YGR178C YDL053C
YGR178C YNR014W
YFR024C-A YGR268C
YFR024C-A YPR171W
YNL124W YDL208W
YNL124W YHR072W-A
YNL124W YLR175W
YBL057C YMR276W
YMR276W YDL190C
YDL190C YBR170C
YDL190C YFL044C
YDL190C YDL126C
YFL044C YDL126C
YDL126C YGL108C
YDL126C YMR067C
YDL126C YNL155W
YML051W YOR370C
YML051W YDR146C
YML051W YGR075C
YML051W YGR146C
YML051W YOR359W
YML051W YOR197W
YML051W YOR355W
YML051W YCR065W
YML051W YDR123C
YML051W YNR010W
YML051W YMR223W
YML051W YBL093C
YML051W YDL106C
YML051W YHL012W
YML051W YKL135C
YML051W YOL148C
YML051W YER130C
YML051W YDR383C
YML051W YDR273W
YML051W YDR308C
YML051W YOL067C
YML051W YPL047W
YML011C YDR314C
YMR001C YJL187C
YBL078C YHR171W
YBL078C YNL223W
YBL078C YNR007C
YHR171W YER134C
YHR171W YLL042C
YHR171W YNR007C
YBL101C YNL225C
YNL225C YOR129C
