YDR479C YAL038W
YDR479C YHR174W
YDR484W YNL178W
YDR484W YBR025C
YDR484W YJL029C
YDR519W YGR105W
YEL036C YNL178W
YER053C YER165W
YFL004W YAL038W
YFL004W YER165W
YFL007W YAL038W
YFL007W YPR103W
YGL012W YBR127C
YGL012W YNL064C
YGL012W YDL055C
YGL027C YHR174W
YGL027C YBR118W
YGL027C YER165W
YGL027C YHR203C
YGL027C YDR226W
YGL054C YAL038W
YGL054C YHR174W
YGL054C YBR127C
YGL054C YGL008C
YGL054C YMR186W
YGL054C YPL240C
YGL054C YGL245W
YGL054C YLR259C
YGL054C YLR249W
YGL054C YKL060C
YGL054C YGR086C
YGL054C YJL138C
YGL054C YGR159C
YGL054C YNL248C
YGL115W YER027C
YGL115W YDR477W
YGL115W YDR422C
YGL155W YAL038W
YGL155W YHR174W
YGL155W YBR118W
YGL155W YOL086C
YGL155W YKL060C
YGL155W YNL248C
YGL155W YCR012W
YGL155W YGR254W
YGL155W YKL019W
YGL155W YKL152C
YGL155W YDR050C
YGL172W YFR002W
YGL172W YJL041W
YGL172W YGR119C
YGL200C YML012W
YGR012W YAL038W
YGR012W YBR118W
YGR012W YKL152C
YGR060W YDR447C
YGR231C YNL209W
YGR235C YJL130C
YGR235C YMR229C
YGR257C YJR139C
YGR277C YCL037C
YHR042W YAL038W
YHR108W YBR031W
YHR108W YJR125C
YIL014W YBR118W
YJL198W YAL038W
YKL020C YHR174W
YKL077W YBR118W
YKL077W YER165W
YKL077W YDR507C
YKL077W YER103W
YLL006W YHR174W
YLL006W YLR044C
YLL006W YBR127C
YLL006W YOL086C
YLL006W YKL060C
YLL006W YGR254W
YLR066W YIR022W
YLR066W YHR091C
YLR292C YOR254C
YLR292C YBR171W
YLR343W YBR118W
YLR343W YNL064C
YLR372W YBR118W
YML008C YER103W
YML038C YAL038W
YML038C YHR174W
YML038C YLR044C
YML038C YBR127C
YML038C YJL130C
YML038C YOL086C
YML038C YER165W
YMR109W YDR388W
YNL257C YAL038W
YNL268W YBR127C
YNR013C YNL178W
YNR013C YBR118W
YNR013C YFR031C-A
YNR013C YNL209W
YOL075C YBR118W
YOR147W YBR118W
YOR147W YDR447C
YPL058C YLR355C
YPL147W YBR118W
YPL147W YER103W
YPL201C YAL038W
YPL201C YHR174W
YPL201C YMR186W
YPL201C YCR012W
YPL201C YJR009C
YPR028W YER165W
YPR114W YHR203C
YPR128C YAL038W
YPR139C YAL038W
YPR139C YKR048C
YPR156C YHR174W
YPR159W YAL038W
YPR159W YMR186W
YPR159W YLR259C
YPR159W YDR385W
